tick,day,resident,posture,gaze,gesture,facing,proximity_before,proximity_after,trust_before,trust_after,gesture_visible,body_state_public,private_workspace_not_leaked
257,15,Milo,alert half-turn,away then back,points to shelf,avatar,2.598,2.388,0.558795,0.564795,True,wet,True
258,15,Sera,open stance,toward bystander,touches chest,avatar,2.573,2.363,0.529876,0.547876,True,steady,True
259,15,Tovan,focused crouch,toward exit,offers handle,side-on boundary,2.547,2.727,0.486801,0.472801,True,wet,True
260,15,Nia,alert half-turn,down at hands,steps aside,avatar,2.521,2.311,0.471261,0.477261,True,steady,True
261,15,Ari,open stance,toward avatar,small wave,side-on boundary,2.495,2.675,0.608121,0.594121,True,steady,True
262,15,Fay,focused crouch,toward tool,palm stop,avatar,2.468,2.258,0.580397,0.598397,True,steady,True
263,15,Milo,alert half-turn,away then back,points to shelf,avatar,2.442,2.232,0.541332,0.547332,True,wet,True
264,15,Sera,open stance,toward bystander,touches chest,avatar,2.415,2.205,0.526286,0.532286,True,steady,True
265,15,Tovan,focused crouch,toward exit,offers handle,avatar,2.387,2.177,0.496578,0.514578,True,wet,True
266,15,Nia,alert half-turn,down at hands,steps aside,side-on boundary,2.36,2.54,0.463742,0.449742,True,steady,True
267,15,Ari,open stance,toward avatar,small wave,avatar,2.333,2.123,0.592008,0.598008,True,steady,True
268,15,Fay,focused crouch,toward tool,palm stop,side-on boundary,2.305,2.485,0.579658,0.565658,True,steady,True
269,15,Milo,alert half-turn,away then back,points to shelf,avatar,2.277,2.067,0.532505,0.550505,True,wet,True
270,16,Sera,open stance,toward exit,touches chest,avatar,2.249,2.039,0.465339,0.483339,True,wet,True
271,16,Tovan,focused crouch,down at hands,offers handle,side-on boundary,2.221,2.401,0.457682,0.443682,True,steady,True
272,16,Nia,alert half-turn,toward avatar,steps aside,avatar,2.194,1.984,0.428545,0.434545,True,steady,True
273,16,Ari,open stance,toward tool,small wave,side-on boundary,2.166,2.346,0.567762,0.553762,True,steady,True
274,16,Fay,focused crouch,away then back,palm stop,avatar,2.138,1.928,0.530952,0.548952,True,wet,True
275,16,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.11,1.9,0.516773,0.522773,True,steady,True
276,16,Sera,open stance,toward exit,touches chest,avatar,2.082,1.872,0.485918,0.491918,True,wet,True
277,16,Tovan,focused crouch,down at hands,offers handle,avatar,2.055,1.845,0.464846,0.482846,True,steady,True
278,16,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,2.027,2.207,0.441855,0.427855,True,steady,True
279,16,Ari,open stance,toward tool,small wave,avatar,2.0,1.79,0.558251,0.564251,True,steady,True
280,16,Fay,focused crouch,away then back,palm stop,side-on boundary,1.973,2.153,0.533836,0.519836,True,wet,True
281,16,Milo,alert half-turn,toward bystander,points to shelf,avatar,1.946,1.736,0.509827,0.527827,True,steady,True
282,16,Sera,open stance,toward exit,touches chest,avatar,1.919,1.709,0.491097,0.497097,True,steady,True
283,16,Tovan,focused crouch,down at hands,offers handle,avatar,1.893,1.683,0.444893,0.450893,True,steady,True
284,16,Nia,alert half-turn,toward avatar,steps aside,avatar,1.867,1.657,0.443935,0.461935,True,steady,True
285,16,Ari,open stance,toward tool,small wave,side-on boundary,1.841,2.021,0.586128,0.572128,True,steady,True
286,16,Fay,focused crouch,away then back,palm stop,avatar,1.816,1.606,0.531025,0.537025,True,steady,True
287,16,Milo,alert half-turn,toward bystander,points to shelf,side-on boundary,1.791,1.971,0.517738,0.503738,True,steady,True
288,17,Sera,open stance,down at hands,touches chest,avatar,1.766,1.556,0.438145,0.444145,True,steady,True
289,17,Tovan,focused crouch,toward avatar,offers handle,avatar,1.742,1.532,0.432761,0.450761,True,steady,True
290,17,Nia,alert half-turn,toward tool,steps aside,side-on boundary,1.718,1.898,0.417275,0.403275,True,steady,True
291,17,Ari,open stance,away then back,small wave,avatar,1.695,1.485,0.560614,0.566614,True,steady,True
292,17,Fay,focused crouch,toward bystander,palm stop,side-on boundary,1.672,1.852,0.502231,0.488231,True,steady,True
293,17,Milo,alert half-turn,toward exit,points to shelf,avatar,1.649,1.439,0.4808,0.4988,True,steady,True
294,17,Sera,open stance,down at hands,touches chest,avatar,1.628,1.418,0.467825,0.473825,True,steady,True
295,17,Tovan,focused crouch,toward avatar,offers handle,avatar,1.606,1.396,0.444171,0.450171,True,steady,True
296,17,Nia,alert half-turn,toward tool,steps aside,avatar,1.586,1.376,0.405503,0.423503,True,steady,True
297,17,Ari,open stance,away then back,small wave,side-on boundary,1.566,1.746,0.535709,0.521709,True,steady,True
298,17,Fay,focused crouch,toward bystander,palm stop,avatar,1.546,1.336,0.533742,0.539742,True,steady,True
299,17,Milo,alert half-turn,toward exit,points to shelf,side-on boundary,1.527,1.707,0.469217,0.455217,True,steady,True
300,17,Sera,open stance,down at hands,touches chest,avatar,1.509,1.299,0.451076,0.469076,True,steady,True
301,17,Tovan,focused crouch,toward avatar,offers handle,avatar,1.492,1.282,0.411823,0.417823,True,steady,True
302,17,Nia,alert half-turn,toward tool,steps aside,avatar,1.475,1.265,0.385613,0.391613,True,steady,True
303,17,Ari,open stance,away then back,small wave,avatar,1.459,1.249,0.546003,0.564003,True,steady,True
304,17,Fay,focused crouch,toward bystander,palm stop,side-on boundary,1.443,1.623,0.533237,0.519237,True,steady,True
305,17,Milo,alert half-turn,toward exit,points to shelf,avatar,1.428,1.218,0.468773,0.474773,True,steady,True
306,18,Sera,open stance,toward avatar,touches chest,avatar,1.414,1.204,0.406455,0.412455,True,steady,True
307,18,Tovan,focused crouch,toward tool,offers handle,avatar,1.401,1.191,0.398198,0.404198,True,steady,True
308,18,Nia,alert half-turn,away then back,steps aside,avatar,1.389,1.179,0.368429,0.386429,True,steady,True
309,18,Ari,open stance,toward bystander,small wave,side-on boundary,1.377,1.557,0.510724,0.496724,True,steady,True
310,18,Fay,focused crouch,toward exit,palm stop,avatar,1.366,1.156,0.494552,0.500552,True,steady,True
311,18,Milo,alert half-turn,down at hands,points to shelf,side-on boundary,1.356,1.536,0.447811,0.433811,True,steady,True
312,18,Sera,open stance,toward avatar,touches chest,avatar,1.347,1.137,0.425484,0.443484,True,steady,True
313,18,Tovan,focused crouch,toward tool,offers handle,avatar,1.338,1.128,0.405785,0.411785,True,steady,True
314,18,Nia,alert half-turn,away then back,steps aside,avatar,1.331,1.121,0.379731,0.385731,True,wet,True
315,18,Ari,open stance,toward bystander,small wave,avatar,1.324,1.114,0.534085,0.552085,True,steady,True
316,18,Fay,focused crouch,toward exit,palm stop,side-on boundary,1.318,1.498,0.501185,0.487185,True,wet,True
317,18,Milo,alert half-turn,down at hands,points to shelf,avatar,1.313,1.103,0.443808,0.449808,True,steady,True
318,18,Sera,open stance,toward avatar,touches chest,side-on boundary,1.309,1.489,0.420218,0.406218,True,steady,True
319,18,Tovan,focused crouch,toward tool,offers handle,avatar,1.305,1.095,0.401489,0.419489,True,steady,True
320,18,Nia,alert half-turn,away then back,steps aside,avatar,1.303,1.093,0.365205,0.371205,True,wet,True
321,18,Ari,open stance,toward bystander,small wave,avatar,1.301,1.091,0.523426,0.529426,True,steady,True
322,18,Fay,focused crouch,toward exit,palm stop,avatar,1.3,1.09,0.470874,0.488874,True,wet,True
323,18,Milo,alert half-turn,down at hands,points to shelf,side-on boundary,1.3,1.48,0.473423,0.459423,True,steady,True
324,19,Sera,open stance,toward tool,touches chest,avatar,1.301,1.091,0.382951,0.400951,True,steady,True
325,19,Tovan,focused crouch,away then back,offers handle,avatar,1.303,1.093,0.38499,0.39099,True,wet,True
326,19,Nia,alert half-turn,toward bystander,steps aside,avatar,1.305,1.095,0.358024,0.364024,True,steady,True
327,19,Ari,open stance,toward exit,small wave,avatar,1.309,1.099,0.476286,0.494286,True,wet,True
328,19,Fay,focused crouch,down at hands,palm stop,side-on boundary,1.313,1.493,0.46546,0.45146,True,steady,True
329,19,Milo,alert half-turn,toward avatar,points to shelf,avatar,1.319,1.109,0.423491,0.429491,True,steady,True
330,19,Sera,open stance,toward tool,touches chest,side-on boundary,1.325,1.505,0.406775,0.392775,True,steady,True
331,19,Tovan,focused crouch,away then back,offers handle,avatar,1.332,1.122,0.385679,0.403679,True,wet,True
332,19,Nia,alert half-turn,toward bystander,steps aside,avatar,1.339,1.129,0.3617,0.3677,True,steady,True
333,19,Ari,open stance,toward exit,small wave,avatar,1.348,1.138,0.495305,0.501305,True,wet,True
334,19,Fay,focused crouch,down at hands,palm stop,avatar,1.357,1.147,0.469304,0.487304,True,steady,True
335,19,Milo,alert half-turn,toward avatar,points to shelf,side-on boundary,1.367,1.547,0.406755,0.392755,True,steady,True
336,19,Sera,open stance,toward tool,touches chest,avatar,1.378,1.168,0.383589,0.389589,True,steady,True
337,19,Tovan,focused crouch,away then back,offers handle,side-on boundary,1.39,1.57,0.361367,0.347367,True,wet,True
338,19,Nia,alert half-turn,toward bystander,steps aside,avatar,1.403,1.193,0.361248,0.379248,True,steady,True
339,19,Ari,open stance,toward exit,small wave,avatar,1.416,1.206,0.4896,0.4956,True,wet,True
340,19,Fay,focused crouch,down at hands,palm stop,avatar,1.43,1.22,0.437096,0.443096,True,steady,True
341,19,Milo,alert half-turn,toward avatar,points to shelf,avatar,1.445,1.235,0.439937,0.457937,True,steady,True
342,20,Sera,open stance,away then back,touches chest,side-on boundary,1.46,1.64,0.393504,0.379504,True,wet,True
343,20,Tovan,focused crouch,toward bystander,offers handle,avatar,1.477,1.267,0.356051,0.374051,True,steady,True
344,20,Nia,alert half-turn,toward exit,steps aside,avatar,1.494,1.284,0.348474,0.354474,True,wet,True
345,20,Ari,open stance,down at hands,small wave,avatar,1.511,1.301,0.448296,0.454296,True,steady,True
346,20,Fay,focused crouch,toward avatar,palm stop,avatar,1.53,1.32,0.406149,0.424149,True,steady,True
347,20,Milo,alert half-turn,toward tool,points to shelf,side-on boundary,1.549,1.729,0.396815,0.382815,True,steady,True
348,20,Sera,open stance,away then back,touches chest,avatar,1.568,1.358,0.371021,0.377021,True,wet,True
349,20,Tovan,focused crouch,toward bystander,offers handle,side-on boundary,1.588,1.768,0.358049,0.344049,True,steady,True
350,20,Nia,alert half-turn,toward exit,steps aside,avatar,1.609,1.399,0.335527,0.353527,True,wet,True
351,20,Ari,open stance,down at hands,small wave,avatar,1.63,1.42,0.458663,0.464663,True,steady,True
352,20,Fay,focused crouch,toward avatar,palm stop,avatar,1.652,1.442,0.440116,0.446116,True,steady,True
353,20,Milo,alert half-turn,toward tool,points to shelf,avatar,1.675,1.465,0.392441,0.410441,True,steady,True
354,20,Sera,open stance,away then back,touches chest,side-on boundary,1.698,1.878,0.358027,0.344027,True,wet,True
355,20,Tovan,focused crouch,toward bystander,offers handle,avatar,1.721,1.511,0.367116,0.373116,True,steady,True
356,20,Nia,alert half-turn,toward exit,steps aside,side-on boundary,1.745,1.925,0.331425,0.317425,True,wet,True
357,20,Ari,open stance,down at hands,small wave,avatar,1.769,1.559,0.443734,0.461734,True,steady,True
358,20,Fay,focused crouch,toward avatar,palm stop,avatar,1.794,1.584,0.411792,0.417792,True,steady,True
359,20,Milo,alert half-turn,toward tool,points to shelf,avatar,1.819,1.609,0.417307,0.423307,True,steady,True
360,21,Sera,open stance,toward bystander,touches chest,avatar,1.844,1.634,0.358577,0.364577,True,steady,True
361,21,Tovan,focused crouch,toward exit,offers handle,side-on boundary,1.87,2.05,0.354298,0.340298,True,wet,True
362,21,Nia,alert half-turn,down at hands,steps aside,avatar,1.896,1.686,0.32528,0.34328,True,steady,True
363,21,Ari,open stance,toward avatar,small wave,avatar,1.923,1.713,0.444146,0.450146,True,steady,True
364,21,Fay,focused crouch,toward tool,palm stop,avatar,1.949,1.739,0.418171,0.424171,True,steady,True
365,21,Milo,alert half-turn,away then back,points to shelf,avatar,1.976,1.766,0.373746,0.391746,True,wet,True
366,21,Sera,open stance,toward bystander,touches chest,side-on boundary,2.003,2.183,0.351169,0.337169,True,steady,True
367,21,Tovan,focused crouch,toward exit,offers handle,avatar,2.031,1.821,0.351484,0.357484,True,wet,True
368,21,Nia,alert half-turn,down at hands,steps aside,side-on boundary,2.058,2.238,0.316126,0.302126,True,steady,True
369,21,Ari,open stance,toward avatar,small wave,avatar,2.086,1.876,0.420079,0.438079,True,steady,True
370,21,Fay,focused crouch,toward tool,palm stop,avatar,2.113,1.903,0.379525,0.385525,True,steady,True
371,21,Milo,alert half-turn,away then back,points to shelf,avatar,2.141,1.931,0.356342,0.362342,True,wet,True
372,21,Sera,open stance,toward bystander,touches chest,avatar,2.169,1.959,0.359583,0.377583,True,steady,True
373,21,Tovan,focused crouch,toward exit,offers handle,side-on boundary,2.197,2.377,0.356198,0.342198,True,wet,True
374,21,Nia,alert half-turn,down at hands,steps aside,avatar,2.225,2.015,0.322505,0.328505,True,steady,True
375,21,Ari,open stance,toward avatar,small wave,side-on boundary,2.253,2.433,0.436204,0.422204,True,steady,True
376,21,Fay,focused crouch,toward tool,palm stop,avatar,2.281,2.071,0.380435,0.398435,True,steady,True
377,21,Milo,alert half-turn,away then back,points to shelf,avatar,2.308,2.098,0.371645,0.377645,True,wet,True
378,22,Sera,open stance,toward exit,touches chest,side-on boundary,2.336,2.516,0.326171,0.312171,True,wet,True
379,22,Tovan,focused crouch,down at hands,offers handle,avatar,2.363,2.153,0.327899,0.333899,True,steady,True
380,22,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,2.391,2.571,0.312275,0.298275,True,steady,True
381,22,Ari,open stance,toward tool,small wave,avatar,2.418,2.208,0.404704,0.422704,True,steady,True
382,22,Fay,focused crouch,away then back,palm stop,avatar,2.445,2.235,0.381555,0.387555,True,wet,True
383,22,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.472,2.262,0.340632,0.346632,True,steady,True
384,22,Sera,open stance,toward exit,touches chest,avatar,2.498,2.288,0.33118,0.34918,True,wet,True
385,22,Tovan,focused crouch,down at hands,offers handle,side-on boundary,2.524,2.704,0.317428,0.303428,True,steady,True
386,22,Nia,alert half-turn,toward avatar,steps aside,avatar,2.55,2.34,0.307827,0.313827,True,steady,True
387,22,Ari,open stance,toward tool,small wave,side-on boundary,2.576,2.756,0.404214,0.390214,True,steady,True
388,22,Fay,focused crouch,away then back,palm stop,avatar,2.601,2.391,0.356988,0.374988,True,wet,True
389,22,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.626,2.416,0.36008,0.36608,True,steady,True
390,22,Sera,open stance,toward exit,touches chest,avatar,2.65,2.44,0.351448,0.357448,True,wet,True
391,22,Tovan,focused crouch,down at hands,offers handle,avatar,2.674,2.464,0.346973,0.364973,True,steady,True
392,22,Nia,alert half-turn,toward avatar,steps aside,side-on boundary,2.697,2.877,0.322642,0.308642,True,steady,True
393,22,Ari,open stance,toward tool,small wave,avatar,2.72,2.51,0.384182,0.390182,True,steady,True
394,22,Fay,focused crouch,away then back,palm stop,side-on boundary,2.743,2.923,0.381237,0.367237,True,wet,True
395,22,Milo,alert half-turn,toward bystander,points to shelf,avatar,2.765,2.555,0.349078,0.367078,True,steady,True
396,23,Sera,open stance,down at hands,touches chest,avatar,2.786,2.576,0.320549,0.338549,True,steady,True
397,23,Tovan,focused crouch,toward avatar,offers handle,side-on boundary,2.807,2.987,0.315673,0.301673,True,steady,True
398,23,Nia,alert half-turn,toward tool,steps aside,avatar,2.828,2.618,0.332438,0.338438,True,steady,True
399,23,Ari,open stance,away then back,small wave,side-on boundary,2.847,3.027,0.375632,0.361632,True,wet,True
400,23,Fay,focused crouch,toward bystander,palm stop,avatar,2.866,2.656,0.369825,0.387825,True,steady,True
401,23,Milo,alert half-turn,toward exit,points to shelf,avatar,2.885,2.675,0.346671,0.352671,True,wet,True
402,23,Sera,open stance,down at hands,touches chest,avatar,2.903,2.693,0.330787,0.336787,True,steady,True
403,23,Tovan,focused crouch,toward avatar,offers handle,avatar,2.92,2.71,0.317601,0.335601,True,steady,True
404,23,Nia,alert half-turn,toward tool,steps aside,side-on boundary,2.936,3.116,0.339241,0.325241,True,steady,True
405,23,Ari,open stance,away then back,small wave,avatar,2.952,2.742,0.390731,0.396731,True,wet,True
406,23,Fay,focused crouch,toward bystander,palm stop,side-on boundary,2.967,3.147,0.364232,0.350232,True,steady,True
407,23,Milo,alert half-turn,toward exit,points to shelf,avatar,2.981,2.771,0.351838,0.369838,True,wet,True
408,23,Sera,open stance,down at hands,touches chest,avatar,2.994,2.784,0.316621,0.322621,True,steady,True
409,23,Tovan,focused crouch,toward avatar,offers handle,avatar,3.007,2.797,0.319477,0.325477,True,steady,True
410,23,Nia,alert half-turn,toward tool,steps aside,avatar,3.019,2.809,0.313528,0.331528,True,steady,True
411,23,Ari,open stance,away then back,small wave,side-on boundary,3.03,3.21,0.371754,0.357754,True,wet,True
412,23,Fay,focused crouch,toward bystander,palm stop,avatar,3.041,2.831,0.34168,0.34768,True,steady,True
