tick,day,cause_action,direct_effect,delayed_effect,affected_resident,affected_resource,trust_delta,schedule_delta,recovery_path,no_history_erasure,harm_recoverable
220,13,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,negotiate debt->seek tool,rest before retry,True,True
221,13,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,seek tool->care duty,apologize and wait,True,True
222,13,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,care duty->recover focus,return object,True,True
223,13,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,private task->recover focus,offer help,True,True
224,13,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,recover focus->rest,give space,True,True
225,13,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,work->rest,finish owed work,True,True
226,13,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,rest->negotiate debt,rest before retry,True,True
227,13,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,negotiate debt->seek tool,apologize and wait,True,True
228,13,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,seek tool->care duty,return object,True,True
229,13,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,care duty->private task,offer help,True,True
230,13,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,private task->work,give space,True,True
231,13,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,recover focus->work,finish owed work,True,True
232,13,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,work->negotiate debt,rest before retry,True,True
233,13,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,rest->negotiate debt,apologize and wait,True,True
234,14,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,seek tool->care duty,offer help,True,True
235,14,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,care duty->private task,give space,True,True
236,14,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,private task->recover focus,finish owed work,True,True
237,14,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,recover focus->rest,rest before retry,True,True
238,14,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,work->rest,apologize and wait,True,True
239,14,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,rest->seek tool,return object,True,True
240,14,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,negotiate debt->seek tool,offer help,True,True
241,14,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,seek tool->care duty,give space,True,True
242,14,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,care duty->private task,finish owed work,True,True
243,14,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,private task->recover focus,rest before retry,True,True
244,14,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,recover focus->work,apologize and wait,True,True
245,14,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,work->negotiate debt,return object,True,True
246,14,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,rest->negotiate debt,offer help,True,True
247,14,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,negotiate debt->care duty,give space,True,True
248,14,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,seek tool->care duty,finish owed work,True,True
249,14,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,care duty->private task,rest before retry,True,True
250,14,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,private task->recover focus,apologize and wait,True,True
251,14,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,recover focus->work,return object,True,True
252,15,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,rest->seek tool,give space,True,True
253,15,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,negotiate debt->seek tool,finish owed work,True,True
254,15,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,seek tool->private task,rest before retry,True,True
255,15,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,care duty->private task,apologize and wait,True,True
256,15,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,private task->recover focus,return object,True,True
257,15,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,recover focus->work,offer help,True,True
258,15,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,work->rest,give space,True,True
259,15,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,rest->negotiate debt,finish owed work,True,True
260,15,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,negotiate debt->care duty,rest before retry,True,True
261,15,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,seek tool->care duty,apologize and wait,True,True
262,15,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,care duty->recover focus,return object,True,True
263,15,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,private task->recover focus,offer help,True,True
264,15,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,recover focus->work,give space,True,True
265,15,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,work->rest,finish owed work,True,True
266,15,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,rest->negotiate debt,rest before retry,True,True
267,15,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,negotiate debt->seek tool,apologize and wait,True,True
268,15,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,seek tool->private task,return object,True,True
269,15,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,care duty->private task,offer help,True,True
270,16,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,recover focus->work,finish owed work,True,True
271,16,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,work->rest,rest before retry,True,True
272,16,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,rest->negotiate debt,apologize and wait,True,True
